1	22121	4.8	Good game.	true	completed	true	18.5	2026-05-03T22:02:42.589003200	Original demo game.
1	428741	4.6	Good game.	true	playing	true	9.0	2026-05-03T22:05:09.529177500	Original demo game.
2	19369	4.0	Good game.	true	completed	false	14.0	2026-05-04T09:10:00.000000	Added demo game.
2	546464	3.7	Good game.	true	playing	false	25.0	2026-05-04T09:16:00.000000	Added demo game.
2	28771	3.9	Good game.	true	completed	false	8.0	2026-05-04T09:17:00.000000	Added demo game.
2	3498	4.4	Good game.	true	playing	true	58.0	2026-05-04T09:20:00.000000	Added demo game.
3	22121	4.7	Good game.	true	completed	true	20.0	2026-05-04T11:32:45.330000	Auto-generated demo library.
3	4136	4.4	Good game.	true	playing	false	31.0	2026-05-04T11:35:18.990000	Auto-generated demo library.
3	274755	4.6	Good game.	true	playing	true	18.0	2026-05-04T11:37:00.000000	Auto-generated demo library.
4	19369	4.2	Good game.	true	completed	false	11.0	2026-05-04T13:48:11.850656	Auto-generated demo library.
4	3328	4.9	Good game.	true	playing	true	88.0	2026-05-04T13:48:27.852570	Auto-generated demo library.
4	428741	4.5	Good game.	true	playing	true	13.5	2026-05-04T13:50:00.000000	Auto-generated demo library.
5	546464	3.8	Good game.	true	playing	false	25.0	2026-05-04T14:09:19.650625	Auto-generated demo library.
5	28771	3.9	Good game.	true	completed	false	8.0	2026-05-04T14:10:46.064672	Auto-generated demo library.
5	4136	4.6	Good game.	true	playing	true	64.0	2026-05-04T14:22:13.000000	Auto-generated demo library.
6	9767	4.4	Good game.	true	playing	false	12.0	2026-05-04T23:08:51.639577	Auto-generated demo library.
6	22121	4.9	Good game.	true	completed	true	23.0	2026-05-04T23:12:44.000000	Auto-generated demo library.
6	3498	4.3	Good game.	true	playing	false	47.0	2026-05-04T23:15:00.000000	Auto-generated demo library.
7	428741	4.7	Good game.	true	playing	true	16.0	2026-05-05T07:45:00.000000	Auto-generated demo library.
7	9767	4.3	Good game.	true	playing	false	19.0	2026-05-05T07:50:00.000000	Auto-generated demo library.
7	546464	3.6	Good game.	true	backlog	false	3.0	2026-05-05T07:55:00.000000	Auto-generated demo library.
8	3328	4.8	Good game.	true	playing	true	72.0	2026-05-05T08:05:00.000000	Auto-generated demo library.
8	274755	4.6	Good game.	true	completed	true	35.0	2026-05-05T08:08:00.000000	Auto-generated demo library.
8	19369	4.1	Good game.	true	completed	false	10.5	2026-05-05T08:09:00.000000	Auto-generated demo library.
