1	2	2026-05-05T08:20:00.000000
1	3	2026-05-05T08:20:10.000000
1	6	2026-05-05T08:20:20.000000
2	1	2026-05-05T08:21:00.000000
2	4	2026-05-05T08:21:10.000000
2	5	2026-05-05T08:21:20.000000
3	1	2026-05-05T08:22:00.000000
3	4	2026-05-05T08:22:10.000000
4	1	2026-05-05T08:23:00.000000
4	7	2026-05-05T08:23:10.000000
5	2	2026-05-05T08:24:00.000000
5	6	2026-05-05T08:24:10.000000
6	1	2026-05-05T08:25:00.000000
6	8	2026-05-05T08:25:10.000000
7	1	2026-05-05T08:26:00.000000
7	3	2026-05-05T08:26:10.000000
8	2	2026-05-05T08:27:00.000000
8	7	2026-05-05T08:27:10.000000
